Titles,Speed,Rattings,Conectivity,Warranties,Value,Doscount
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹26,990",30% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹35,990",34% off
"SAMSUNG 12 kg 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam,Digital Inverter Fully Automatic ...",1000 RPM Max Speed,1000 RPM Max Speed,1000 RPM Max Speed,1000 RPM Max Speed,"₹43,990",58% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹28,990",32% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹34,990",45% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,"₹38,900",25% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹35,490",37% off
"LG 9 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam Fully Automatic Front Load Washin...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹35,990",28% off
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹25,490",36% off
"Godrej 7 kg FabriSafe Drum, AI Tech With Steam Wash Fully Automatic Front Load Washing Machine with In...","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","₹25,390",30% off
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹29,990",32% off
"MOTOROLA 8 kg Digital Inverter, Super Steam Technology with In-built Heater Grey (MTFL805NHNJG) Fully ...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹21,990",58% off
"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹36,990",34% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹29,990",30% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹34,490",60% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹37,990",33% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹35,990",30% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹36,990",23% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹21,990",16% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹32,990",22% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹28,990",26% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹23,990",33% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,"₹35,990",45% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...",1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹26,990",35% off
"SAMSUNG 12 kg 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam,Digital Inverter Fully Automatic ...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹43,990",20% off
"LG 9 kg 5 Star with AI Direct Drive, 6 Motion, Inverter Direct Drive, Steam and Wi-Fi Enabled Fully Au...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹38,990",32% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹38,900",38% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹35,490",28% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹31,990",32% off
"Godrej 7 kg FabriSafe Drum, AI Tech With Steam Wash Fully Automatic Front Load Washing Machine with In...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹25,390",60% off
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹29,990",30% off
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...",2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,"₹25,490",58% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹28,990",32% off
BOSCH 7 kg with Steam Fully Automatic Front Load Washing Machine with In-built Heater Silver,5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹30,990",45% off
TCL 7.5 kg Digital Inverter Motor 1400 RPM Fully Automatic Front Load Washing Machine with In-built He...,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹20,990",25% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹34,990",37% off
"LG 8 kg 5 Star, Inverter Direct Drive Technology, Wi-Fi Enabled, 6 Motion DD, Steam Fully Automatic Fr...",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹34,990",28% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹37,990",36% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹35,990",30% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹36,990",32% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹21,990",22% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹32,990",34% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹23,990",58% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹35,990",26% off
"LG 9 kg 5 Star with AI Direct Drive, 6 Motion, Inverter Direct Drive, Steam and Wi-Fi Enabled Fully Au...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹38,990",33% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,"₹35,490",30% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹31,990",23% off
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹25,490",16% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹28,990",20% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹34,990",28% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹38,900",35% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹28,990",33% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹29,990",32% off
"LG 8 kg 5 Star, Inverter Direct Drive Technology, Wi-Fi Enabled, 6 Motion DD, Steam Fully Automatic Fr...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹34,990",21% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹37,990",45% off
"IFB 8 kg 5 Star AI Powered, 4 years Comprehensive Warranty with 2X Power Steam Fully Automatic Front L...",1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹34,490",32% off
"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹36,990",45% off
"IFB 7 kg Powered by AI, 5 Star, 4 years Comprehensive Warranty with 2x Steam Cycle Fully Automatic Fro...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹26,990",33% off
"LG 9 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹37,990",30% off
"MOTOROLA 8 kg Digital Inverter, Super Steam Technology with In-built Heater Grey (MTFL805NHNJG) Fully ...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹21,990",34% off
"SAMSUNG 12 kg 5 star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygi...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹56,000",58% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹29,990",32% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,"₹34,490",45% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹37,990",25% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹35,990",33% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹36,990",37% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹21,990",36% off
